marka;model;donanim;motor;yakit;vites;fiyat;websitesi
Alfa Romeo;4C;1.8 TCT;1800;Benzin;Otomatik;580000;http://www.alfaromeo.com.tr/
Alfa Romeo;4C Spider;1.8 TCT;1800;Benzin;Otomatik;620000;http://www.alfaromeo.com.tr/
Alfa Romeo;Giulia;2.0 200hp SUPER RWD BENZİNLİ AT;2000;Benzin;Otomatik;320000;http://www.alfaromeo.com.tr/
Alfa Romeo;Giulia;2.0 280hp VELOCE AWD BENZİNLİ AT;2000;Benzin;Otomatik;380000;http://www.alfaromeo.com.tr/
Alfa Romeo;Giulia;2.9 510hp QV RWD BENZİNLİ AT;2900;Benzin;Otomatik;780000;http://www.alfaromeo.com.tr/
Alfa Romeo;Giulietta;1.4 TB MULTIAIR SUPER BENZİNLİ TCT;1400;Benzin;Otomatik;121000;http://www.alfaromeo.com.tr/
Alfa Romeo;Giulietta;1.6 JTD 120hp PROGRESSION DİZEL MT;1600;Dizel;Düz;114000;http://www.alfaromeo.com.tr/
Alfa Romeo;Giulietta;1.6 JTD 120hp SUPER DİZEL MT;1600;Dizel;Düz;121000;http://www.alfaromeo.com.tr/
Alfa Romeo;Giulietta;1.6 JTDM 120hp SUPER DİZEL TCT;1600;Dizel;Otomatik;136000;http://www.alfaromeo.com.tr/
Alfa Romeo;Giulietta;1.6 JTDM PROGRESSION DİZEL TCT;1600;Dizel;Otomatik;121000;http://www.alfaromeo.com.tr/
Audi;A1 Sportback;1.0 TFSI 95 hp Dynamic S tronic;1000;Benzin;Otomatik;110271;http://www.audi.com.tr/
Audi;A1 Sportback;1.0 TFSI 95 hp Sport S tronic;1000;Benzin;Otomatik;112661;http://www.audi.com.tr/
Audi;A1 Sportback;1.4 TFSI 125 hp Dynamic S tronic;1400;Benzin;Otomatik;114973;http://www.audi.com.tr/
Audi;A1 Sportback;1.4 TFSI 125 hp Sport S tronic ;1400;Benzin;Otomatik;117406;http://www.audi.com.tr/
Audi;A1 Sportback;1.6 TDI 116 hp Dynamic S tronic ;1600;Dizel;Otomatik;122755;http://www.audi.com.tr/
Audi;A1 Sportback;1.6 TDI 116 hp Sport S tronic ;1600;Dizel;Otomatik;133425;http://www.audi.com.tr/
Audi;A3 Cabrio;1.4 TFSI 150 hp (COD) Design Line S tronic PI;1400;Benzin;Otomatik;189127;http://www.audi.com.tr/
